Sr.No	Function Name	        Syntax	                                                    Description
1	    CONCATENATE / CONCAT	CONCATENATE(text1, text2, ...) / =CONCAT(text1, text2, ...)	Joins multiple text strings into one.
2	    PROPER	                PROPER(text)	                                            Capitalizes the first letter of each word.
3	    UPPER	                UPPER(text)                                             	Converts text to uppercase.
4	    LOWER	                LOWER(text)	                                                Converts text to lowercase.
5	    LEFT	                LEFT(text, num_chars)	                                    Extracts characters from the start of a text string.
6	    RIGHT	                RIGHT(text, num_chars)	                                    Extracts characters from the end of a text string.
7	    MID	                    MID(text, start_num, num_chars)	                            Extracts characters from the middle of a text string.
8	    LEN	                    LEN(text)	                                                Returns the length of a text string.
9	    FIND	                FIND(find_text, within_text, [start_num])	                Finds the position of a substring (case-sensitive).
10	    SEARCH	                SEARCH(find_text, within_text, [start_num])	                Finds the position of a substring (not case-sensitive).
11	    SUBSTITUTE	            SUBSTITUTE(text, old_text, new_text, [instance_num])	    Replaces a specific text within a string.
12	    REPLACE	                REPLACE(old_text, start_num, num_chars, new_text)	        Replaces part of a text string based on position.
13	    CLEAN	                CLEAN(text)	                                                Removes non-printable characters from text.
14	    EXACT	                EXACT(text1, text2)                                     	Checks if two text values are identical (case-sensitive).
15	    TRIM	                TRIM(text)                                              	Removes extra spaces from text.
16	    TEXTJOIN	            TEXTJOIN(delimiter, ignore_empty, text1, text2, …)	        Joins multiple text values with a delimiter.
